"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "XML", "CSS", "JavaScript", "JSON with Comments", "Properties", "Markdown", "HTML", "YAML", "SQL", "comment", "blank", "total"
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/assets/react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Catégories/Categories.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Catégories/CategoryCard.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Footer/Footer.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Footer/FooterCta.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Footer/FooterLegals.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Footer/FooterTop.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Header/Account.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Header/Cart.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Header/Header.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Header/Logo.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Header/SearchBar/SearchBar.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Header/SearchBar/SearchCategory.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Header/SearchBar/SearchField.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Header/SearchBar/SearchResults.tsx", "TypeScript JSX", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Header/UserPanel.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/components/Nouveautés/NewProducts.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
