Date : 2024-09-06 22:10:24
Directory : /Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon
Total : 84 files,  5872 codes, 11 comments, 1307 blanks, all 7190 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/pages/Home.tsx                                 | TypeScript JSX     |         13 |          0 |          3 |         16 |
| /Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/pages/ProductPage.tsx                          | TypeScript JSX     |         45 |          0 |          7 |         52 |
| /Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/services/authService.ts                        | TypeScript         |         28 |          0 |          3 |         31 |
| /Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/services/categoryService.ts                    | TypeScript         |         13 |          0 |          4 |         17 |
| /Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/services/productService.ts                     | TypeScript         |         13 |          0 |          4 |         17 |
| /Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/services/tagService.ts                         | TypeScript         |         13 |          0 |          4 |         17 |
| /Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/vite-env.d.ts                                  | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/tailwind.config.js                                 | JavaScript         |         74 |          1 |          2 |         77 |
| /Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/tsconfig.app.json                                  | JSON               |         20 |          2 |          3 |         25 |
| /Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/tsconfig.json                                      | JSON with Comments |          7 |          0 |          1 |          8 |
| /Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/tsconfig.node.json                                 | JSON               |         18 |          2 |          3 |         23 |
| /Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/vite.config.ts                                     | TypeScript         |          7 |          1 |          3 |         11 |
| Total                                                                                                               |                    |      5,872 |         11 |      1,307 |      7,190 |
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
